,trial_in_session,final_socnonsoc
0,0,0.0
1,28,0.0
2,35,0.0
3,44,0.0
4,55,0.0
5,56,0.0
6,90,0.0
7,120,1.0
8,126,0.0
9,132,0.0
10,152,0.0
11,166,1.0
12,173,1.0
13,176,1.0
14,188,1.0
15,189,0.0
16,201,0.0
17,231,1.0
18,232,0.0
19,245,1.0
20,246,0.0
21,249,0.0
22,250,1.0
23,255,0.0
24,264,1.0
25,267,1.0
26,280,0.0
27,281,1.0
28,305,1.0
29,345,1.0
30,353,0.0
31,356,0.0
32,359,0.0
33,361,1.0
34,373,1.0
35,402,1.0
36,433,0.0
37,439,1.0
38,440,1.0
39,448,1.0
40,468,0.0
41,497,0.0
42,504,0.0
43,508,0.0
44,519,0.0
45,523,0.0
46,527,1.0
47,574,1.0
48,598,0.0
49,599,1.0
50,600,0.0
51,624,0.0
52,628,0.0
53,633,0.0
54,666,1.0
55,685,0.0
56,689,1.0
57,701,1.0
58,724,0.0
59,731,1.0
60,738,0.0
61,747,0.0
62,2,0.0
63,10,1.0
64,12,0.0
65,30,0.0
66,31,0.0
67,48,0.0
68,49,1.0
69,52,1.0
70,58,1.0
71,71,1.0
72,77,1.0
73,78,0.0
74,88,1.0
75,95,0.0
76,119,0.0
77,120,0.0
78,125,1.0
79,130,0.0
80,147,0.0
81,150,0.0
82,157,0.0
83,162,0.0
84,163,0.0
85,171,1.0
86,175,1.0
87,193,1.0
88,200,0.0
89,240,1.0
90,243,0.0
91,246,0.0
92,248,0.0
93,252,0.0
94,260,0.0
95,266,0.0
96,267,0.0
97,278,1.0
98,320,0.0
99,329,0.0
100,341,0.0
101,360,1.0
102,369,0.0
103,374,0.0
104,400,0.0
105,408,1.0
106,412,0.0
107,426,0.0
108,427,0.0
109,435,1.0
110,445,1.0
111,446,1.0
112,458,0.0
113,474,0.0
114,499,0.0
115,508,0.0
116,511,1.0
117,514,1.0
118,518,1.0
119,523,0.0
120,527,0.0
121,537,1.0
122,554,0.0
123,561,0.0
124,569,0.0
125,581,1.0
126,588,1.0
127,591,1.0
128,596,0.0
129,605,1.0
130,622,0.0
131,640,0.0
132,643,0.0
133,651,0.0
134,654,1.0
135,665,0.0
136,674,1.0
137,689,0.0
138,694,0.0
139,711,0.0
140,740,1.0
141,749,1.0
142,11,1.0
143,20,0.0
144,48,1.0
145,63,0.0
146,67,0.0
147,69,0.0
148,74,1.0
149,92,0.0
150,93,1.0
151,95,1.0
152,133,1.0
153,144,1.0
154,149,1.0
155,157,0.0
156,171,1.0
157,178,0.0
158,187,0.0
159,200,0.0
160,218,0.0
161,224,1.0
162,265,1.0
163,268,1.0
164,272,1.0
165,283,0.0
166,297,1.0
167,318,1.0
168,363,1.0
169,364,0.0
170,377,1.0
171,436,0.0
172,440,0.0
173,472,0.0
174,482,0.0
175,487,0.0
176,495,1.0
177,502,1.0
178,512,1.0
179,513,1.0
180,525,0.0
181,546,1.0
182,549,0.0
183,565,0.0
184,573,1.0
185,586,0.0
186,596,0.0
187,603,1.0
188,608,1.0
189,611,1.0
190,614,0.0
191,645,1.0
192,650,1.0
193,656,0.0
194,669,1.0
195,687,0.0
196,697,0.0
