,SUBJECT,SESSION,RUN,trial_in_session
0,1,1,1,0
28,1,1,1,28
35,1,1,1,35
44,1,1,1,44
55,1,1,1,55
56,1,1,1,56
90,1,1,2,90
120,1,1,2,120
126,1,1,3,126
132,1,1,3,132
152,1,1,3,152
166,1,1,3,166
173,1,1,3,173
176,1,1,3,176
188,1,1,4,188
189,1,1,4,189
201,1,1,4,201
231,1,1,4,231
232,1,1,4,232
245,1,1,4,245
246,1,1,4,246
249,1,1,4,249
250,1,1,5,250
255,1,1,5,255
264,1,1,5,264
267,1,1,5,267
280,1,1,5,280
281,1,1,5,281
305,1,1,5,305
345,1,1,6,345
353,1,1,6,353
356,1,1,6,356
359,1,1,6,359
361,1,1,6,361
373,1,1,6,373
402,1,1,7,402
433,1,1,7,433
439,1,1,8,439
440,1,1,8,440
448,1,1,8,448
468,1,1,8,468
497,1,1,8,497
504,1,1,9,504
508,1,1,9,508
519,1,1,9,519
523,1,1,9,523
527,1,1,9,527
574,1,1,10,574
598,1,1,10,598
599,1,1,10,599
600,1,1,10,600
624,1,1,10,624
628,1,1,11,628
633,1,1,11,633
666,1,1,11,666
685,1,1,11,685
689,1,1,12,689
701,1,1,12,701
724,1,1,12,724
731,1,1,12,731
738,1,1,12,738
747,1,1,12,747
752,1,2,1,2
760,1,2,1,10
762,1,2,1,12
780,1,2,1,30
781,1,2,1,31
798,1,2,1,48
799,1,2,1,49
802,1,2,1,52
808,1,2,1,58
821,1,2,2,71
827,1,2,2,77
828,1,2,2,78
838,1,2,2,88
845,1,2,2,95
869,1,2,2,119
870,1,2,2,120
875,1,2,3,125
880,1,2,3,130
897,1,2,3,147
900,1,2,3,150
907,1,2,3,157
912,1,2,3,162
913,1,2,3,163
921,1,2,3,171
925,1,2,3,175
943,1,2,4,193
950,1,2,4,200
990,1,2,4,240
993,1,2,4,243
996,1,2,4,246
998,1,2,4,248
1002,1,2,5,252
1010,1,2,5,260
1016,1,2,5,266
1017,1,2,5,267
1028,1,2,5,278
1070,1,2,6,320
1079,1,2,6,329
1091,1,2,6,341
1110,1,2,6,360
1119,1,2,6,369
1124,1,2,6,374
1150,1,2,7,400
1158,1,2,7,408
1162,1,2,7,412
1176,1,2,7,426
1177,1,2,7,427
1185,1,2,7,435
1195,1,2,8,445
1196,1,2,8,446
1208,1,2,8,458
1224,1,2,8,474
1249,1,2,8,499
1258,1,2,9,508
1261,1,2,9,511
1264,1,2,9,514
1268,1,2,9,518
1273,1,2,9,523
1277,1,2,9,527
1287,1,2,9,537
1304,1,2,9,554
1311,1,2,9,561
1319,1,2,10,569
1331,1,2,10,581
1338,1,2,10,588
1341,1,2,10,591
1346,1,2,10,596
1355,1,2,10,605
1372,1,2,10,622
1390,1,2,11,640
1393,1,2,11,643
1401,1,2,11,651
1404,1,2,11,654
1415,1,2,11,665
1424,1,2,11,674
1439,1,2,12,689
1444,1,2,12,694
1461,1,2,12,711
1490,1,2,12,740
1499,1,2,12,749
1511,1,3,1,11
1520,1,3,1,20
1548,1,3,1,48
1563,1,3,2,63
1567,1,3,2,67
1569,1,3,2,69
1574,1,3,2,74
1592,1,3,2,92
1593,1,3,2,93
1595,1,3,2,95
1633,1,3,3,133
1644,1,3,3,144
1649,1,3,3,149
1657,1,3,3,157
1671,1,3,3,171
1678,1,3,3,178
1687,1,3,3,187
1700,1,3,4,200
1718,1,3,4,218
1724,1,3,4,224
1765,1,3,5,265
1768,1,3,5,268
1772,1,3,5,272
1783,1,3,5,283
1797,1,3,5,297
1818,1,3,6,318
1863,1,3,6,363
1864,1,3,6,364
1877,1,3,7,377
1936,1,3,7,436
1940,1,3,8,440
1972,1,3,8,472
1982,1,3,8,482
1987,1,3,8,487
1995,1,3,8,495
2002,1,3,9,502
2012,1,3,9,512
2013,1,3,9,513
2025,1,3,9,525
2046,1,3,9,546
2049,1,3,9,549
2065,1,3,10,565
2073,1,3,10,573
2086,1,3,10,586
2096,1,3,10,596
2103,1,3,10,603
2108,1,3,10,608
2111,1,3,10,611
2114,1,3,10,614
2145,1,3,11,645
2150,1,3,11,650
2156,1,3,11,656
2169,1,3,11,669
2187,1,3,11,687
2197,1,3,12,697
2212,1,3,12,712
2237,1,3,12,737
2239,1,3,12,739
2241,1,3,12,741
2271,1,4,1,21
2285,1,4,1,35
2297,1,4,1,47
2303,1,4,1,53
2309,1,4,1,59
2318,1,4,2,68
2325,1,4,2,75
2340,1,4,2,90
